vignedo,vino,agno,rating,nro_revs,pais,region,precio,tipo,cuerpo,acidez
Toro Albala,Don PX Seleccion,1965,4.6,65,Espana,Montilla-Moriles,145.0,Pedro Ximenez,5,1
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2001,4.6,65,Espana,Priorato,945.0,Priorat Red,4,3
Hacienda Monasterio,Reserva,2017,4.6,64,Espana,Ribera del Duero,50.0,Ribera Del Duero Red,5,3
Ysios,Finca Las Naves,2016,4.6,63,Espana,Rioja,126.6,Rioja Red,4,3
Marques de Grinon,AAA,2008,4.6,63,Espana,Dominio de Valdepusa,162.4,Red,4,3
Contino,Vina del Olivo,2001,4.6,60,Espana,Rioja,81.0,Rioja Red,4,3
Alvaro Palacios,Les Aubaguetes Priorat,2016,4.6,59,Espana,Priorato,356.0,Priorat Red,4,3
Gramona,Cava Enoteca Finca La Plana Brut Nature,2001,4.6,58,Espana,Cava,164.7,Cava,2,3
Alto Moncayo,Aquilon Garnacha,2016,4.6,58,Espana,Campo de Borja,120.9,Grenache,5,3
Dominio del Aguila,Gran Reserva Penas Aladas,2014,4.6,58,Espana,Ribera del Duero,218.9,Ribera Del Duero Red,5,3
Hacienda Solano,Pena Lobera,2016,4.6,57,Espana,Ribera del Duero,66.0,Ribera Del Duero Red,5,3
Bodegas Mas Alta,La Creu Alta,2014,4.6,53,Espana,Priorato,86.0,Priorat Red,4,3
Francisco Garcia Perez,Adega do Moucho Treixadura,2017,4.6,53,Espana,Ribeiro,34.5,,0,0
Anima Negra,Son Negre,2007,4.6,51,Espana,Mallorca,282.6,Red,4,3
Mas Doix,1902 Centenary Carignan Priorat,2017,4.6,51,Espana,Priorato,259.9,Priorat Red,4,3
Vega Sicilia,Unico,1961,4.6,50,Espana,Ribera del Duero,1099.3,Ribera Del Duero Red,5,3
Castano,Casa Cisca Monastrell,2016,4.6,49,Espana,Yecla,35.0,Monastrell,5,3
Descendientes de J. Palacios,Moncerbal Bierzo (Corullon),2016,4.6,48,Espana,Bierzo,270.0,Mencia,3,3
La Legua,Capricho,2014,4.6,47,Espana,Cigales,27.3,Red,4,3
Dominio de Pingus,Pingus,2018,4.6,47,Espana,Ribera del Duero,1250.0,Ribera Del Duero Red,5,3
Castillo de Cuzcurrita,Cerrado del Castillo Rioja,2016,4.6,47,Espana,Rioja,53.0,Rioja Red,4,3
Oxer Wines,Kalamity Rioja,2018,4.6,46,Espana,Rioja,115.0,Rioja Red,4,3
Vega Sicilia,Valbuena 5o,1979,4.6,46,Espana,Ribera del Duero,195.0,Ribera Del Duero Red,5,3
Bodegas 6o Elemento - Vino Sexto Elemento,Respeto,2015,4.6,45,Espana,Utiel-Requena,29.4,Red,4,3
Proyecto Garnachas de Espana,El Garnacho Viejo de la Familia Acha,2014,4.6,45,Espana,Rioja,79.9,Rioja Red,4,3
Matarromera,Ribera del Duero Prestigio,2016,4.6,45,Espana,Ribera del Duero,54.0,Ribera Del Duero Red,5,3
Mas Doix,1902 Centenary Carignan Priorat,2016,4.6,43,Espana,Priorato,270.4,Priorat Red,4,3
Artadi,La Poza de Ballesteros,2009,4.6,42,Espana,Vino de Espana,187.5,Tempranillo,4,2
Marques de Murrieta,Reserva Rioja (Finca Ygay),1954,4.6,42,Espana,Rioja,210.0,Rioja Red,4,3
Hacienda Monasterio,Reserva Especial,2016,4.6,41,Espana,Ribera del Duero,85.6,Ribera Del Duero Red,5,3
Artadi,Vina El Pison,2017,4.6,41,Espana,Vino de Espana,304.5,Tempranillo,4,2
Vall Llach,Idus,2020,4.6,41,Espana,Priorato,34.3,Priorat Red,4,3
Sierra Cantabria,Amancio,2017,4.6,40,Espana,Rioja,86.0,Rioja Red,4,3
Emilio Moro,Clon De La Familia,2015,4.6,39,Espana,Ribera del Duero,249.9,Ribera Del Duero Red,5,3
Sierra Cantabria,Finca el Bosque,2002,4.6,38,Espana,Rioja,128.0,Rioja Red,4,3
Descendientes de J. Palacios,Valdafoz Bierzo (Corullon),2011,4.6,38,Espana,Bierzo,135.5,Mencia,3,3
Bodegas Mas Alta,La Creu Alta,2017,4.6,36,Espana,Priorato,85.0,Priorat Red,4,3
Vina Real,Rioja Gran Reserva,1986,4.6,35,Espana,Rioja,123.0,Rioja Red,4,3
Dominio de Atauta,Valdegatiles Ribera del Duero,2012,4.6,34,Espana,Ribera del Duero,106.4,Ribera Del Duero Red,5,3
Toro Albala,Don PX Seleccion,1962,4.6,34,Espana,Montilla-Moriles,207.0,Pedro Ximenez,5,1
Micro Bio (MicroBio),Respublica Verdejo,2016,4.6,33,Espana,Vino de Espana,76.0,Verdejo,3,3
Dominio del Aguila,Gran Reserva Penas Aladas,2015,4.6,33,Espana,Ribera del Duero,185.3,Ribera Del Duero Red,5,3
Terroir Al Limit Soc. Lda,Les Tosses,2016,4.6,33,Espana,Priorato,206.0,Priorat Red,4,3
Finca Torremilanos,Torremilanos Coleccion Ribera del Duero,2016,4.6,32,Espana,Ribera del Duero,40.4,Ribera Del Duero Red,5,3
Artadi,El Carretil,2017,4.6,32,Espana,Vino de Espana,176.9,Tempranillo,4,2
Huerta de Albala,Taberner No. 1,2013,4.6,32,Espana,Cadiz,79.9,Red,4,3
Gomez Cruzado,Vina Motulleri,2011,4.6,30,Espana,Rioja,79.0,Rioja Red,4,3
Castell d'Encus,Saktih,2013,4.6,30,Espana,Costers del Segre,195.3,Red,4,3
Abadia Retuerta,Cuvee Palomar,2017,4.6,30,Espana,Sardon de Duero,58.9,Red,4,3
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2014,4.6,30,Espana,Priorato,1660.0,Priorat Red,4,3
Dominio de Atauta,Valdegatiles Ribera del Duero,2013,4.6,29,Espana,Ribera del Duero,111.9,Ribera Del Duero Red,5,3
Bodegas 6o Elemento - Vino Sexto Elemento,Respeto,2017,4.6,29,Espana,Utiel-Requena,30.0,Red,4,3
Enate,Uno Tinto,2010,4.6,28,Espana,Somontano,129.9,Red,4,3
Benjamin de Rothschild - Vega Sicilia,Macan,2017,4.6,28,Espana,Rioja,70.0,Rioja Red,4,3
Mas Doix,1903 Centenary Grenache,2016,4.6,28,Espana,Priorato,299.0,Priorat Red,4,3
Descendientes de J. Palacios,La Faraona Bierzo (Corullon),2010,4.6,28,Espana,Bierzo,3119.1,Red,4,3
Bodegas Aragonesas,Galiano Seleccion Especial,2013,4.6,28,Espana,Campo de Borja,100.0,Red,4,3
Telmo Rodriguez,Molino Real,2016,4.6,28,Espana,Malaga,41.7,,0,0
Anima Negra,Son Negre,2004,4.6,27,Espana,Mallorca,374.4,Red,4,3
Tomas Postigo,5o Ano Ribera del Duero Tinto,2017,4.6,27,Espana,Ribera del Duero,46.4,Ribera Del Duero Red,5,3
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2011,4.6,27,Espana,Priorato,2750.0,Priorat Red,4,3
Acustic Celler,Etern Vinyes Molt Velles,2016,4.6,26,Espana,Priorato,42.5,Priorat Red,4,3
Vina Pedrosa,40 Aniversario Gran Reserva,2012,4.6,25,Espana,Ribera del Duero,95.0,Ribera Del Duero Red,5,3
Recaredo,Corpinnat Enoteca Reserva Particular de Recaredo,2004,4.6,25,Espana,Cataluna,130.0,Sparkling,2,3
Toro Albala,Don PX Pedro Ximenez,1968,4.6,25,Espana,Montilla-Moriles,181.5,Pedro Ximenez,5,1
Alion,Ribera del Duero,2013,4.5,7435,Espana,Ribera del Duero,73.0,Ribera Del Duero Red,5,3
Alion,Ribera del Duero,2014,4.5,7237,Espana,Ribera del Duero,56.3,Ribera Del Duero Red,5,3
Pintia,Toro,2014,4.5,5863,Espana,Toro,69.0,Toro Red,5,3
Pago de Carraovejas,Tinto,2018,4.5,5372,Espana,Ribera del Duero,45.0,Ribera Del Duero Red,5,3
Alion,Ribera del Duero,2015,4.5,5365,Espana,Ribera del Duero,75.0,Ribera Del Duero Red,5,3
Pintia,Toro,2015,4.5,4979,Espana,Toro,69.8,Toro Red,5,3
Aalto,PS (Pagos Seleccionados) Ribera del Duero,2016,4.5,4411,Espana,Ribera del Duero,78.6,Ribera Del Duero Red,5,3
Marques de Murrieta,Castillo Ygay Gran Reserva Especial Tinto,2005,4.5,3521,Espana,Rioja,400.0,Rioja Red,4,3
La Rioja Alta,Gran Reserva 890,2005,4.5,3443,Espana,Rioja,125.0,Rioja Red,4,3
Marques de Murrieta,Castillo Ygay Gran Reserva Especial Tinto,2009,4.5,3148,Espana,Rioja,229.0,Rioja Red,4,3
Pintia,Toro,2016,4.5,3118,Espana,Toro,40.4,Toro Red,5,3
Dominio de Pingus,Flor de Pingus,2016,4.5,2887,Espana,Ribera del Duero,101.9,Ribera Del Duero Red,5,3
Aalto,PS (Pagos Seleccionados) Ribera del Duero,2015,4.5,2858,Espana,Ribera del Duero,172.5,Ribera Del Duero Red,5,3
Bodegas El Nido,Clio,2015,4.5,2712,Espana,Jumilla,33.2,Red,4,3
Dominio de Pingus,Flor de Pingus,2014,4.5,2710,Espana,Ribera del Duero,125.0,Ribera Del Duero Red,5,3
Dominio de Pingus,Flor de Pingus,2010,4.5,2551,Espana,Ribera del Duero,125.0,Ribera Del Duero Red,5,3
Dominio de Pingus,Flor de Pingus,2015,4.5,2530,Espana,Ribera del Duero,125.0,Ribera Del Duero Red,5,3
Aalto,PS (Pagos Seleccionados) Ribera del Duero,2011,4.5,2207,Espana,Ribera del Duero,64.0,Ribera Del Duero Red,5,3
Pago de Carraovejas,Tinto,2019,4.5,2144,Espana,Ribera del Duero,33.8,Ribera Del Duero Red,5,3
Benjamin de Rothschild - Vega Sicilia,Macan,2014,4.5,1910,Espana,Rioja,59.0,Rioja Red,4,3
Aalto,Tinto,2018,4.5,1864,Espana,Ribera del Duero,33.2,Ribera Del Duero Red,5,3
Bodegas El Nido,Clio,2018,4.5,1520,Espana,Jumilla,61.8,Red,4,3
Alto Moncayo,Garnacha,2017,4.5,1503,Espana,Campo de Borja,44.3,Grenache,5,3
Pago de Los Capellanes,Parcela El Nogal Tinto,2015,4.5,1393,Espana,Ribera del Duero,45.9,Ribera Del Duero Red,5,3
Vega Sicilia,Valbuena 5o,2003,4.5,1346,Espana,Ribera del Duero,239.2,Ribera Del Duero Red,5,3
Benjamin de Rothschild - Vega Sicilia,Macan,2015,4.5,1345,Espana,Rioja,68.9,Rioja Red,4,3
Alion,Ribera del Duero,2003,4.5,1236,Espana,Ribera del Duero,164.0,Ribera Del Duero Red,5,3
Belondrade,Belondrade y Lurton,2018,4.5,1192,Espana,Rueda,32.8,Verdejo,3,3
Pago de Los Capellanes,Parcela El Nogal Tinto,2014,4.5,1163,Espana,Ribera del Duero,41.0,Ribera Del Duero Red,5,3
Remirez de Ganuza,Rioja Reserva,2012,4.5,1089,Espana,Rioja,49.8,Rioja Red,4,3
Muga,Prado Enea Gran Reserva,2014,4.5,1014,Espana,Rioja,51.0,Rioja Red,4,3
Remirez de Ganuza,Rioja Reserva,2011,4.5,1012,Espana,Rioja,59.9,Rioja Red,4,3
La Rioja Alta,Gran Reserva 890,2004,4.5,990,Espana,Rioja,290.7,Rioja Red,4,3
Clos Mogador,Priorat,2015,4.5,955,Espana,Priorato,147.0,Priorat Red,4,3
Muga,Torre Muga,2016,4.5,838,Espana,Rioja,70.5,Rioja Red,4,3
Benjamin de Rothschild - Vega Sicilia,Macan,2016,4.5,813,Espana,Rioja,64.0,Rioja Red,4,3
Bodega Numanthia,Termanthia,2010,4.5,729,Espana,Toro,168.0,Toro Red,5,3
Emilio Moro,Malleolus de Valderramiro,2011,4.5,719,Espana,Ribera del Duero,174.0,Ribera Del Duero Red,5,3
Clos Mogador,Priorat,2017,4.5,666,Espana,Priorato,65.0,Priorat Red,4,3
Marques de Murrieta,Dalmau Rioja,2014,4.5,642,Espana,Rioja,67.6,Rioja Red,4,3
Hacienda Monasterio,Reserva,2015,4.5,629,Espana,Ribera del Duero,54.0,Ribera Del Duero Red,5,3
Pago de Los Capellanes,Parcela El Nogal Tinto,2016,4.5,595,Espana,Ribera del Duero,43.0,Ribera Del Duero Red,5,3
Bodegas El Nido,Clio,2019,4.5,550,Espana,Jumilla,47.3,Red,4,3
Muga,Aro,2015,4.5,529,Espana,Rioja,169.4,Rioja Red,4,3
Remirez de Ganuza,Gran Reserva,2007,4.5,529,Espana,Rioja,121.8,Rioja Red,4,3
Senorio de San Vicente,San Vicente Rioja,2017,4.5,505,Espana,Rioja,34.8,Rioja Red,4,3
Carmelo Rodero,Ribera del Duero TSM,2017,4.5,503,Espana,Ribera del Duero,55.4,Ribera Del Duero Red,5,3
Vina Sastre,Pago de Santa Cruz,2016,4.5,501,Espana,Ribera del Duero,76.0,Ribera Del Duero Red,5,3
Bodegas Valduero,Ribera Del Duero Reserva Premium 6 Anos,2011,4.5,500,Espana,Ribera del Duero,48.7,Ribera Del Duero Red,5,3
Remirez de Ganuza,Trasnocho,2012,4.5,499,Espana,Rioja,118.9,Rioja Red,4,3
Costers del Siurana,Clos de L'Obac,2005,4.5,493,Espana,Priorato,92.9,Priorat Red,4,3
Vega Sicilia,Valbuena 5o,1996,4.5,488,Espana,Ribera del Duero,290.4,Ribera Del Duero Red,5,3
Arzuaga,Reserva Ribera del Duero,2017,4.5,477,Espana,Ribera del Duero,31.8,Ribera Del Duero Red,5,3
La Rioja Alta,Gran Reserva 890,2010,4.5,469,Espana,Rioja,149.5,Rioja Red,4,3
Vina Sastre,Pago de Santa Cruz,2015,4.5,420,Espana,Ribera del Duero,83.0,Ribera Del Duero Red,5,3
Bodegas Valduero,Ribera Del Duero Reserva Premium 6 Anos,2012,4.5,406,Espana,Ribera del Duero,59.0,Ribera Del Duero Red,5,3
Juan Gil,Bruto,2018,4.5,384,Espana,Jumilla,37.7,Monastrell,5,3
Bodegas Roda,Cirsion Rioja,2016,4.5,353,Espana,Rioja,175.6,Rioja Red,4,3
Clos Mogador,Priorat,2018,4.5,336,Espana,Priorato,61.6,Priorat Red,4,3
Juan Gil,Bruto,2017,4.5,322,Espana,Jumilla,30.7,Monastrell,5,3
Bodegas Mauro,VS,2017,4.5,318,Espana,Castilla y Leon,56.5,Tempranillo,4,2
Bodega Numanthia,Termanthia,2013,4.5,316,Espana,Toro,207.1,Toro Red,5,3
Remirez de Ganuza,Trasnocho,2011,4.5,301,Espana,Rioja,110.5,Rioja Red,4,3
Hacienda Monasterio,Reserva,2016,4.5,297,Espana,Ribera del Duero,56.0,Ribera Del Duero Red,5,3
R. Lopez de Heredia,Vina Tondonia Gran Reserva,1995,4.5,292,Espana,Rioja,170.0,Rioja Red,4,3
Abadia Retuerta,Petit Verdot,2015,4.5,286,Espana,Sardon de Duero,107.9,Red,4,3
Tomas Postigo,5o Ano Ribera del Duero Tinto,2011,4.5,264,Espana,Ribera del Duero,69.9,Ribera Del Duero Red,5,3
Dominio del Bendito,El Titan del Bendito,2017,4.5,261,Espana,Toro,49.5,Toro Red,5,3
Abadia Retuerta,Petit Verdot,2014,4.5,249,Espana,Sardon de Duero,177.0,Red,4,3
Sierra Cantabria,Amancio,2012,4.5,246,Espana,Rioja,90.0,Rioja Red,4,3
Martinet,Clos Martinet,2014,4.5,230,Espana,Priorato,65.0,Priorat Red,4,3
Adama Wines,Tinto,2009,4.5,229,Espana,Ribera del Duero,39.0,Ribera Del Duero Red,5,3
Alion,Ribera del Duero,1995,4.5,226,Espana,Ribera del Duero,193.0,Ribera Del Duero Red,5,3
Vega Sicilia,Valbuena 5o,1987,4.5,221,Espana,Ribera del Duero,312.0,Ribera Del Duero Red,5,3
Milsetentayseis,Tinto,2018,4.5,218,Espana,Ribera del Duero,52.9,Ribera Del Duero Red,5,3
Vina Sastre,Pago de Santa Cruz,2017,4.5,217,Espana,Ribera del Duero,40.9,Ribera Del Duero Red,5,3
Espectacle del Montsant,Tinto,2013,4.5,214,Espana,Montsant,158.0,Montsant Red,4,3
Tinto Pesquera,Millenium Gran Reserva,2015,4.5,213,Espana,Ribera del Duero,77.5,Ribera Del Duero Red,5,3
Vina Sastre,Regina Vides Ribera del Duero,2011,4.5,213,Espana,Ribera del Duero,116.0,Ribera Del Duero Red,5,3
Alvaro Palacios,Finca Dofi,2006,4.5,207,Espana,Priorato,75.0,Priorat Red,4,3
Arzuaga,Gran Reserva Ribera del Duero,2015,4.5,205,Espana,Ribera del Duero,81.0,Ribera Del Duero Red,5,3
Contino,Vina del Olivo,2017,4.5,203,Espana,Rioja,64.5,Rioja Red,4,3
Ferrer Bobet,Seleccio Especial Vinyes Velles,2015,4.5,197,Espana,Priorato,64.0,Priorat Red,4,3
Clos Mogador,Priorat,2003,4.5,196,Espana,Priorato,95.0,Priorat Red,4,3
Allende,Calvario Rioja,2009,4.5,194,Espana,Rioja,126.0,Rioja Red,4,3
Bodegas Valduero,Ribera del Duero Una Cepa I,2017,4.5,194,Espana,Ribera del Duero,26.5,Ribera Del Duero Red,5,3
Matarromera,Ribera del Duero Prestigio,2015,4.5,190,Espana,Ribera del Duero,54.0,Ribera Del Duero Red,5,3
Vina Sastre,Regina Vides Ribera del Duero,2014,4.5,189,Espana,Ribera del Duero,104.9,Ribera Del Duero Red,5,3
Vina Sastre,Pesus Ribera del Duero,2014,4.5,189,Espana,Ribera del Duero,315.0,Ribera Del Duero Red,5,3
Pazo Barrantes,Gran Vino Albarino,2019,4.5,188,Espana,Rias Baixas,34.9,Albarino,3,3
Arzuaga,Reserva Especial Ribera del Duero,2015,4.5,187,Espana,Ribera del Duero,51.5,Ribera Del Duero Red,5,3
Abadia Retuerta,Pago Garduna,2016,4.5,186,Espana,Castilla y Leon,71.8,Syrah,4,3
Belondrade,Belondrade y Lurton,2020,4.5,184,Espana,Rueda,38.9,Verdejo,3,3
Pintia,Toro,2017,4.5,178,Espana,Toro,54.1,Toro Red,5,3
Bodega Contador (Benjamin Romeo),La Cueva del Contador Rioja,2017,4.5,174,Espana,Rioja,67.9,Rioja Red,4,3
Sierra Cantabria,Finca el Bosque,2016,4.5,173,Espana,Rioja,81.0,Rioja Red,4,3
Bodega Contador (Benjamin Romeo),Que Bonito Cacareaba Blanco,2018,4.5,170,Espana,Rioja,50.3,Rioja White,3,3
Tomas Postigo,5o Ano Ribera del Duero Tinto,2014,4.5,165,Espana,Ribera del Duero,58.0,Ribera Del Duero Red,5,3
Marques de Riscal,Baron de Chirel Rioja Reserva,2016,4.5,163,Espana,Rioja,73.6,Rioja Red,4,3
Ossian,Capitel,2016,4.5,162,Espana,Castilla y Leon,144.8,Verdejo,3,3
Recaredo,Turo d'en Mota,2005,4.5,161,Espana,Cava,90.0,Cava,2,3
Sierra Cantabria,Amancio,2015,4.5,156,Espana,Rioja,90.0,Rioja Red,4,3
Vina Sastre,Regina Vides Ribera del Duero,2015,4.5,154,Espana,Ribera del Duero,92.8,Ribera Del Duero Red,5,3
Marques de Grinon,Emeritvs (Emeritus),2013,4.5,147,Espana,Dominio de Valdepusa,48.9,Red,4,3
Vina Sastre,Regina Vides Ribera del Duero,2016,4.5,144,Espana,Ribera del Duero,70.6,Ribera Del Duero Red,5,3
Recaredo,Turo d'en Mota,2006,4.5,142,Espana,Cava,110.0,Cava,2,3
Martinet,Cami Pesseroles,2009,4.5,141,Espana,Priorato,139.3,Priorat Red,4,3
Dominio del Aguila,Reserva,2018,4.5,141,Espana,Ribera del Duero,59.8,Ribera Del Duero Red,5,3
Sierra Cantabria,Amancio,2014,4.5,140,Espana,Rioja,75.0,Rioja Red,4,3
Cruz de Alba,Finca Los Hoyales Ribera del Duero,2015,4.5,140,Espana,Ribera del Duero,57.0,Ribera Del Duero Red,5,3
Artadi,Vina El Pison,2013,4.5,137,Espana,Vino de Espana,253.5,Tempranillo,4,2
Vina Sastre,Pesus Ribera del Duero,2015,4.5,134,Espana,Ribera del Duero,298.0,Ribera Del Duero Red,5,3
Abadia Retuerta,Pago Garduna,2009,4.5,132,Espana,Castilla y Leon,73.6,Syrah,4,3
Bodegas Mas Alta,La Basseta,2013,4.5,132,Espana,Priorato,58.0,Priorat Red,4,3
Territorio Luthier,Territorio Luthier Reserva,2016,4.5,128,Espana,Ribera del Duero,54.0,Ribera Del Duero Red,5,3
Alion,Ribera del Duero,2018,4.5,128,Espana,Ribera del Duero,78.4,Ribera Del Duero Red,5,3
Anima Negra,Son Negre,2011,4.5,121,Espana,Mallorca,228.9,Red,4,3
Costers del Siurana,Clos de L'Obac,2010,4.5,121,Espana,Priorato,81.3,Priorat Red,4,3
Dominio de Es,Vinas Viejas de Soria Ribera Del Duero,2018,4.5,117,Espana,Ribera del Duero,165.0,Ribera Del Duero Red,5,3
Vina Sastre,Pago de Santa Cruz Gran Reserva Ribera del Duero,2014,4.5,115,Espana,Ribera del Duero,54.9,Ribera Del Duero Red,5,3
Martinet,Cami Pesseroles,2010,4.5,113,Espana,Priorato,131.8,Priorat Red,4,3
Pago de Los Capellanes,Parcela El Picon Tinto,2015,4.5,113,Espana,Ribera del Duero,148.4,Ribera Del Duero Red,5,3
Adama Wines,Tinto,2011,4.5,110,Espana,Ribera del Duero,39.0,Ribera Del Duero Red,5,3
Jesus Madrazo,Seleccion Rioja,2015,4.5,107,Espana,Rioja,67.1,Rioja Red,4,3
Tinto Pesquera,Millenium Reserva,1996,4.5,106,Espana,Ribera del Duero,199.4,Ribera Del Duero Red,5,3
Bodegas Naluar & Acediano,Acediano,2015,4.5,104,Espana,Ribera del Duero,52.0,Ribera Del Duero Red,5,3
Marques de Caceres,Gaudium,2016,4.5,104,Espana,Rioja,34.9,Rioja Red,4,3
Dominio de Es,Vinas Viejas de Soria Ribera Del Duero,2017,4.5,103,Espana,Ribera del Duero,75.8,Ribera Del Duero Red,5,3
Sierra Cantabria,Finca el Bosque,2017,4.5,103,Espana,Rioja,84.4,Rioja Red,4,3
Trus,Pico de Luyas,2016,4.5,103,Espana,Ribera del Duero,48.0,Ribera Del Duero Red,5,3
Artadi,Grandes Anadas Rioja,2001,4.5,103,Espana,Rioja,391.6,Rioja Red,4,3
Juan Gil,Bruto,2019,4.5,104,Espana,Jumilla,32.5,Monastrell,5,3
Muga,Aro,2004,4.5,102,Espana,Rioja,198.0,Rioja Red,4,3
Mestres,Mas Via Gran Reserva Brut,2004,4.5,102,Espana,Cava,40.3,Cava,2,3
Alvaro Palacios,Les Aubaguetes Priorat,2015,4.5,99,Espana,Priorato,302.5,Priorat Red,4,3
Quinta de la Quietud,La Mula de la Quietud,2016,4.5,99,Espana,Toro,62.0,Toro Red,5,3
Chivite,Navarra Coleccion 125 Blanco,2018,4.5,97,Espana,Navarra,49.1,Chardonnay,4,3
Marques de Murrieta,Dalmau Rioja,2015,4.5,97,Espana,Rioja,75.0,Rioja Red,4,3
Enate,Chardonnay Uno,2011,4.5,96,Espana,Somontano,200.1,Chardonnay,4,3
Bodega Ribas,Ribas de Cabrera,2018,4.5,94,Espana,Mallorca,68.4,Red,4,3
Vinas del Cenit,Cenit,2012,4.5,92,Espana,Tierra del Vino de Zamora,37.5,Tempranillo,4,2
Artadi,El Carretil,2012,4.5,88,Espana,Vino de Espana,165.0,Tempranillo,4,2
Alvaro Palacios,Quinon de Valmira,2016,4.5,88,Espana,Rioja,415.0,Rioja Red,4,3
Bodegas Naluar & Acediano,Acediano,2014,4.5,87,Espana,Ribera del Duero,74.0,Ribera Del Duero Red,5,3
Mas del Serral,Mas del Serral,2007,4.5,82,Espana,Penedes,192.2,Sparkling,2,3
Cervoles,Estrats,2009,4.5,81,Espana,Costers del Segre,59.8,Red,4,3
Sierra Cantabria,Finca el Bosque,2018,4.5,81,Espana,Rioja,86.0,Rioja Red,4,3
Familia Torres,Grans Muralles,2000,4.5,81,Espana,Conca de Barbera,125.0,Red,4,3
Emilio Moro,Malleolus de Valderramiro,2018,4.5,82,Espana,Ribera del Duero,85.6,Ribera Del Duero Red,5,3
Bodega Contador (Benjamin Romeo),Contador Rioja,2016,4.5,80,Espana,Rioja,317.8,Rioja Red,4,3
Adama Wines,Tinto,2010,4.5,79,Espana,Ribera del Duero,35.0,Ribera Del Duero Red,5,3
R. Lopez de Heredia,Vina Tondonia Gran Reserva Blanco,1981,4.5,78,Espana,Rioja Alta,275.0,Rioja White,3,3
Martinet,Cami Pesseroles,2014,4.5,78,Espana,Priorato,82.6,Priorat Red,4,3
Clos Mogador,Priorat,2019,4.5,76,Espana,Priorato,63.9,Priorat Red,4,3
Marques de Burgos,8000,2017,4.5,75,Espana,Ribera del Duero,30.0,Ribera Del Duero Red,5,3
Vina Sastre,Pesus Ribera del Duero,2009,4.5,75,Espana,Ribera del Duero,312.6,Ribera Del Duero Red,5,3
Bodegas Mas Alta,La Basseta,2017,4.5,75,Espana,Priorato,59.0,Priorat Red,4,3
Penafiel,Mironia Black Edition Tempranillo,2015,4.5,73,Espana,Ribera del Duero,49.5,Ribera Del Duero Red,5,3
Bodegas Mas Alta,La Creu Alta,2015,4.5,73,Espana,Priorato,235.0,Priorat Red,4,3
Costers del Siurana,Miserere,2010,4.5,74,Espana,Priorato,78.5,Priorat Red,4,3
Muga,Prado Enea Gran Reserva,2015,4.5,72,Espana,Rioja,57.0,Rioja Red,4,3
Tobia,Alma Tobia Rioja,2015,4.5,72,Espana,Rioja,40.0,Rioja Red,4,3
Tresmano - Tr3smano,Tm,2016,4.5,71,Espana,Ribera del Duero,100.0,Tempranillo,4,2
Miguel Merino,La Loma,2017,4.5,69,Espana,Rioja Alta,38.9,Rioja Red,4,3
Finca Villacreces,Nebro Ribera del Duero,2011,4.5,69,Espana,Ribera del Duero,154.5,Ribera Del Duero Red,5,3
Clos Erasmus,Priorat,2012,4.5,69,Espana,Priorato,374.7,Priorat Red,4,3
Virgen de la Asuncion,El Canto del Angel,2014,4.5,66,Espana,Ribera del Duero,60.0,Ribera Del Duero Red,5,3
Artadi,Grandes Anadas Rioja,1998,4.5,66,Espana,Rioja,467.6,Rioja Red,4,3
Remirez de Ganuza,Rioja Blanco Reserva,2012,4.5,66,Espana,Rioja,65.5,Rioja White,3,3
Allende,Calvario Rioja,2002,4.5,61,Espana,Rioja,95.0,Rioja Red,4,3
Dominio del Aguila,Gran Reserva Penas Aladas,2012,4.5,61,Espana,Ribera del Duero,559.0,Ribera Del Duero Red,5,3
Martinet,Cami Pesseroles,2012,4.5,60,Espana,Priorato,115.8,Priorat Red,4,3
Vega Sicilia,Unico,1969,4.5,60,Espana,Ribera del Duero,976.8,Ribera Del Duero Red,5,3
Dehesa del Carrizal,Coleccion Privada,2017,4.5,59,Espana,Dehesa del Carrizal,26.9,Red,4,3
Tarsus,Finca El Canto,2015,4.5,58,Espana,Ribera del Duero,89.7,Tempranillo,4,2
La Rioja Alta,Rioja Gran Reserva 904,1987,4.5,57,Espana,Rioja,190.0,Rioja Red,4,3
Marques de Grinon,AAA,2004,4.5,56,Espana,Dominio de Valdepusa,141.2,Red,4,3
Adama Wines,Tinto,2007,4.5,55,Espana,Ribera del Duero,32.0,Ribera Del Duero Red,5,3
Beronia,Rioja Gran Reserva,1994,4.5,54,Espana,Rioja,61.0,Rioja Red,4,3
Toro Albala,Marques de Poley Amontillado Seleccion 1951,1951,4.5,53,Espana,Montilla-Moriles,170.0,Pedro Ximenez,5,1
Bodegas Valduero,Ribera Del Duero Reserva Premium 6 Anos,2014,4.5,53,Espana,Ribera del Duero,49.9,Ribera Del Duero Red,5,3
Enate,Reserva Especial,2006,4.5,53,Espana,Somontano,65.9,Red,4,3
Divina Proporcion,Platon Tinto,2019,4.5,52,Espana,Toro,25.9,Toro Red,5,3
Vina al Lado de la Casa,Altos de Las Gateras Monastrell,2013,4.5,51,Espana,Vino de Espana,58.2,Monastrell,5,3
Dominio del Aguila,Canta la Perdiz,2013,4.5,51,Espana,Ribera del Duero,295.0,Ribera Del Duero Red,5,3
